symbol,description,bid_price,ask_price,last_price,high_price,low_price,close_price,total_volume,open_interest,volatility,money_intrinsic_value,expiration_year,multiplier,digits,open_price,bid_size,ask_size,last_size,net_change,strike_price,contract_type,underlying,expiration_month,deliverables,time_value,expiration_day,days_to_expiration,delta,gamma,theta,vega,rho,security_status,theoretical_option_value,underlying_price,uv_expiration_type,mark_price,quote_time,trade_time,exchange,exchange_name,last_trading_day,settlement_type,net_percent_change,mark_price_net_change,mark_price_percent_change,implied_yield,is_penny_pilot,option_root,week_52_high,week_52_low,indicative_ask_price,indicative_bid_price,indicative_quote_time,exercise_type,field_delayed,field_assetMainType,time_et
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.42672904,161.4601,2025,100,2,165,155,156,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.91009695,31,0,1.0,0,0,0,0,Normal,161.4722,271.4601,W,161.475,1761933213018,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:33 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.51731347,161.51,2025,100,2,165,172,166,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.95999695,31,0,1.0,0,0,0,0,Normal,161.495,271.51,W,161.475,1761933226575,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:46 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.51731347,161.51,2025,100,2,165,173,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.95999695,31,0,1.0,0,0,0,0,Normal,161.495,271.51,W,161.475,1761933226763,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:46 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.51731347,161.5274,2025,100,2,165,173,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.97739695,31,0,1.0,0,0,0,0,Normal,161.495,271.5274,W,161.475,1761933228727,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:48 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.51731347,161.565,2025,100,2,165,159,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-2.01499695,31,0,1.0,0,0,0,0,Normal,161.495,271.565,W,161.475,1761933230658,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:50 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.51731347,161.565,2025,100,2,165,170,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-2.01499695,31,0,1.0,0,0,0,0,Normal,161.495,271.565,W,161.475,1761933232194,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:52 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1213.51731347,161.555,2025,100,2,165,170,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-2.00499695,31,0,1.0,0,0,0,0,Normal,161.495,271.555,W,161.475,1761933237883,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:53:57 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.15261248,161.55,2025,100,2,165,170,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.99999695,31,0,1.0,0,0,0,0,Normal,161.555,271.55,W,161.475,1761933241996,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:01 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.15261248,161.53,2025,100,2,165,165,162,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.97999695,31,0,1.0,0,0,0,0,Normal,161.555,271.53,W,161.475,1761933249012,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:09 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.15261248,161.53,2025,100,2,165,170,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.97999695,31,0,1.0,0,0,0,0,Normal,161.555,271.53,W,161.475,1761933249395,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:09 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.00446745,161.56,2025,100,2,165,116,116,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-2.00999695,31,0,1.0,0,0,0,0,Normal,161.53,271.56,W,161.475,1761933259193,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:19 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.00446745,161.58,2025,100,2,165,171,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-2.02999695,31,0,1.0,0,0,0,0,Normal,161.53,271.58,W,161.475,1761933259490,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:19 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.00446745,161.56,2025,100,2,165,166,162,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-2.00999695,31,0,1.0,0,0,0,0,Normal,161.53,271.56,W,161.475,1761933264379,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:24 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.00446745,161.55,2025,100,2,165,171,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.99999695,31,0,1.0,0,0,0,0,Normal,161.53,271.55,W,161.475,1761933266585,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:26 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.09222064,161.57,2025,100,2,165,172,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-2.01999695,31,0,1.0,0,0,0,0,Normal,161.545,271.57,W,161.475,1761933274850,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:34 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.09222064,161.5591,2025,100,2,165,171,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-2.00909695,31,0,1.0,0,0,0,0,Normal,161.545,271.5591,W,161.475,1761933276850,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:36 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.09222064,161.48,2025,100,2,165,169,166,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.92999695,31,0,1.0,0,0,0,0,Normal,161.545,271.48,W,161.475,1761933279697,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:39 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.09222064,161.425,2025,100,2,165,155,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.87499695,31,0,1.0,0,0,0,0,Normal,161.545,271.425,W,161.475,1761933281201,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:41 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.09222064,161.425,2025,100,2,165,155,168,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.87499695,31,0,1.0,0,0,0,0,Normal,161.545,271.425,W,161.475,1761933281500,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:41 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.09222064,161.415,2025,100,2,165,155,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.86499695,31,0,1.0,0,0,0,0,Normal,161.545,271.415,W,161.475,1761933283814,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:43 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.09222064,161.42,2025,100,2,165,154,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.86999695,31,0,1.0,0,0,0,0,Normal,161.545,271.42,W,161.475,1761933284902,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:44 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1216.09222064,161.42,2025,100,2,165,172,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.86999695,31,0,1.0,0,0,0,0,Normal,161.545,271.42,W,161.475,1761933285050,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:45 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1215.56319049,161.42,2025,100,2,165,172,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.86999695,31,0,0.9997541,1.289e-05,-0.00711707,5.706e-05,0.00054341,Normal,161.42711707,271.42,W,161.475,1761933289142,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:49 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1215.56319049,161.4,2025,100,2,165,118,125,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.84999695,31,0,0.9997541,1.289e-05,-0.00711707,5.706e-05,0.00054341,Normal,161.42711707,271.4,W,161.475,1761933294707,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:54 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1215.56319049,161.4,2025,100,2,165,172,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.84999695,31,0,0.9997541,1.289e-05,-0.00711707,5.706e-05,0.00054341,Normal,161.42711707,271.4,W,161.475,1761933295701,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:55 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1215.56319049,161.4,2025,100,2,165,158,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.84999695,31,0,0.9997541,1.289e-05,-0.00711707,5.706e-05,0.00054341,Normal,161.42711707,271.4,W,161.475,1761933295778,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:54:55 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.385,2025,100,2,165,174,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.83499695,31,0,1.0,0,0,0,0,Normal,161.41,271.385,W,161.475,1761933302857,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:02 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.375,2025,100,2,165,169,162,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.82499695,31,0,1.0,0,0,0,0,Normal,161.41,271.375,W,161.475,1761933307507,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:07 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.39,2025,100,2,165,174,167,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.83999695,31,0,1.0,0,0,0,0,Normal,161.41,271.39,W,161.475,1761933308016,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:08 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.15,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.31,2025,100,2,165,172,165,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.75999695,31,0,1.0,0,0,0,0,Normal,161.41,271.31,W,161.475,1761933309169,1761917923365,O,OPR,1761955200000,P,-1.15167131,0.0661,0.04095189,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:09 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.0,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.305,2025,100,2,165,173,51,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.75499695,31,0,1.0,0,0,0,0,Normal,161.41,271.305,W,161.4,1761933310073,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0089,-0.00551395,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:10 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.0,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.28,2025,100,2,165,115,117,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.72999695,31,0,1.0,0,0,0,0,Normal,161.41,271.28,W,161.4,1761933311634,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0089,-0.00551395,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:11 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.0,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.28,2025,100,2,165,174,162,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.72999695,31,0,1.0,0,0,0,0,Normal,161.41,271.28,W,161.4,1761933312180,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0089,-0.00551395,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:12 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.0,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.2751,2025,100,2,165,174,173,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.72509695,31,0,1.0,0,0,0,0,Normal,161.41,271.2751,W,161.4,1761933314102,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0089,-0.00551395,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:14 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.0,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.265,2025,100,2,165,175,174,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.71499695,31,0,1.0,0,0,0,0,Normal,161.41,271.265,W,161.4,1761933314973,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0089,-0.00551395,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:14 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.0,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.295,2025,100,2,165,174,173,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.74499695,31,0,1.0,0,0,0,0,Normal,161.41,271.295,W,161.4,1761933316549,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0089,-0.00551395,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:16 EDT
,AAPL 10/31/2025 110.00 C,160.8,162.0,159.55,165.8,159.55,161.4089,3,3,1217.83643966,161.245,2025,100,2,165,121,171,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.69499695,31,0,1.0,0,0,0,0,Normal,161.41,271.245,W,161.4,1761933317201,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0089,-0.00551395,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:17 EDT
,AAPL 10/31/2025 110.00 C,160.8,161.95,159.55,165.8,159.55,161.4089,3,3,1217.03445114,161.245,2025,100,2,165,116,51,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.69499695,31,0,1.0,0,0,0,0,Normal,161.23,271.245,W,161.375,1761933318014,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0339,-0.02100256,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:18 EDT
,AAPL 10/31/2025 110.00 C,160.8,161.95,159.55,165.8,159.55,161.4089,3,3,1217.03445114,161.26,2025,100,2,165,121,112,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.70999695,31,0,1.0,0,0,0,0,Normal,161.23,271.26,W,161.375,1761933319411,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0339,-0.02100256,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:19 EDT
,AAPL 10/31/2025 110.00 C,160.8,161.95,159.55,165.8,159.55,161.4089,3,3,1217.03445114,161.29,2025,100,2,165,165,154,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.73999695,31,0,1.0,0,0,0,0,Normal,161.23,271.29,W,161.375,1761933320000,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0339,-0.02100256,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:20 EDT
,AAPL 10/31/2025 110.00 C,160.8,161.95,159.55,165.8,159.55,161.4089,3,3,1217.03445114,161.255,2025,100,2,165,120,153,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.70499695,31,0,1.0,0,0,0,0,Normal,161.23,271.255,W,161.375,1761933325379,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0339,-0.02100256,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:25 EDT
,AAPL 10/31/2025 110.00 C,160.8,161.95,159.55,165.8,159.55,161.4089,3,3,1217.03445114,161.25,2025,100,2,165,112,154,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.69999695,31,0,1.0,0,0,0,0,Normal,161.23,271.25,W,161.375,1761933326194,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0339,-0.02100256,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:26 EDT
,AAPL 10/31/2025 110.00 C,160.8,161.95,159.55,165.8,159.55,161.4089,3,3,1217.03445114,161.25,2025,100,2,165,111,154,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.69999695,31,0,1.0,0,0,0,0,Normal,161.23,271.25,W,161.375,1761933326568,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0339,-0.02100256,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:26 EDT
,AAPL 10/31/2025 110.00 C,160.8,161.95,159.55,165.8,159.55,161.4089,3,3,1217.03445114,161.2401,2025,100,2,165,121,154,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.69009695,31,0,1.0,0,0,0,0,Normal,161.23,271.2401,W,161.375,1761933327895,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0339,-0.02100256,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:27 EDT
,AAPL 10/31/2025 110.00 C,160.8,161.95,159.55,165.8,159.55,161.4089,3,3,1217.03445114,161.265,2025,100,2,165,152,155,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.71499695,31,0,1.0,0,0,0,0,Normal,161.23,271.265,W,161.375,1761933329058,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0339,-0.02100256,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:29 EDT
,AAPL 10/31/2025 110.00 C,160.8,161.95,159.55,165.8,159.55,161.4089,3,3,1217.03445114,161.2401,2025,100,2,165,162,154,1,-1.8589,110.0,C,AAPL,10,100 AAPL,-1.69009695,31,0,1.0,0,0,0,0,Normal,161.23,271.2401,W,161.375,1761933329890,1761917923365,O,OPR,1761955200000,P,-1.15167131,-0.0339,-0.02100256,0,True,AAPL,165.8,159.0,0,0,0,A,False,OPTION,2025-10-31 13:55:29 EDT
